facilityuid,facility,code,ward,sub_county,county,indicator,indicator_name,period,dhis2_value,datim_value
SZnkrFoimi2,Kugitimo Health Centre,13723,Nyabasi east Ward,Kuria East Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,64,64
xt2lltkTLza,Ntimaru Sub-District Hospital,13858,Ntimaru west Ward,Kuria East Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2019Q4,119,124
NoZjHcIDHGW,Kegonga District Hospital,13663,Nyabasi east Ward,Kuria East Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q2,1,1
SZnkrFoimi2,Kugitimo Health Centre,13723,Nyabasi east Ward,Kuria East Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,46,45
xt2lltkTLza,Ntimaru Sub-District Hospital,13858,Ntimaru west Ward,Kuria East Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,194,191
fb6IuqPC7fr,Gwitembe Dispensary,13597,Ntimaru west Ward,Kuria East Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q1,78,78
SZnkrFoimi2,Kugitimo Health Centre,13723,Nyabasi east Ward,Kuria East Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2019Q4,41,41
kVVmxGZKCfA,Chinato Dispensary,13526,Nyabasi west Ward,Kuria East Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2020Q1,1,1
xt2lltkTLza,Ntimaru Sub-District Hospital,13858,Ntimaru west Ward,Kuria East Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,161,161
NoZjHcIDHGW,Kegonga District Hospital,13663,Nyabasi east Ward,Kuria East Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,147,142
kVVmxGZKCfA,Chinato Dispensary,13526,Nyabasi west Ward,Kuria East Sub County,Migori County,qSgLzXh46n9,MOH 731  Known Positive at 1st  ANC       HV02-03,2019Q4,2,2
fb6IuqPC7fr,Gwitembe Dispensary,13597,Ntimaru west Ward,Kuria East Sub County,Migori County,ETX9cUWF43c,MOH 731  Initial test at ANC       HV02-04,2020Q2,71,71
